time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-07-12T09:55:03.108Z,28.9561,-97.5606,14.09,2.8,mb_lg,49,189,0.239,0.38,us,us6000i1sf,2022-07-12T10:16:57.040Z,"6 km NE of Nordheim, Texas",earthquake,5,7.1,0.065,62,reviewed,us,us
2022-07-12T09:01:23.089Z,-23.5797,-67.1264,237.32,4.7,mb,25,95,1.152,0.7,us,us6000i1s4,2022-07-12T09:23:23.040Z,"108 km NW of San Antonio de los Cobres, Argentina",earthquake,10.8,10,0.159,12,reviewed,us,us
2022-07-12T08:39:02.816Z,28.99749756,-97.58237592,3.154663086,2.8,ml,17,86,0.05693664596,0.7,tx,tx2022nnls,2022-07-12T11:29:40.336Z,"7 km WNW of Yorktown, Texas",earthquake,2.98088526,2.053959115,0.1,13,reviewed,tx,tx
2022-07-12T07:24:58.285Z,60.9805,-150.9365,51.1,4.7,ml,,,,0.72,ak,ak0228vb1a7q,2022-07-12T12:03:03.590Z,"14 km SE of Tyonek, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2022-07-12T06:47:22.582Z,65.7886,-148.9037,4.2,2.5,ml,,,,1.26,ak,ak0228vakpc2,2022-07-12T07:50:01.757Z,"25 km SSE of Stevens Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-07-12T06:44:24.016Z,3.1422,127.2269,50.08,4.7,mb,66,80,2.358,0.43,us,us6000i1ri,2022-07-12T07:01:50.040Z,"178 km NNW of Tobelo, Indonesia",earthquake,8,6.9,0.067,67,reviewed,us,us
2022-07-12T06:16:26.048Z,38.1932,-116.6139,16,2.7,ml,18,199.01,1.015,0.4764,nn,nn00842670,2022-07-12T06:27:58.040Z,"Nevada",earthquake,,1.1,0.33,13,automatic,nn,nn
2022-07-12T05:12:03.987Z,36.0421,70.7401,109.04,4.2,mb,32,85,1.089,0.55,us,us6000i1r9,2022-07-12T05:36:46.040Z,"70 km NNW of Pārūn, Afghanistan",earthquake,4.1,7.4,0.128,17,reviewed,us,us
2022-07-12T04:35:19.554Z,36.5287,71.2336,198.33,4.1,mb,20,80,2.669,0.88,us,us6000i1r5,2022-07-12T04:57:37.040Z,"31 km WSW of Ashkāsham, Afghanistan",earthquake,8.8,13.1,0.234,5,reviewed,us,us
2022-07-12T02:58:59.039Z,60.3975,-149.0117,30.1,4.3,ml,,,,0.58,ak,ak0228v89eiv,2022-07-12T10:59:07.678Z,"19 km ENE of Primrose, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2022-07-12T02:56:24.900Z,19.0023,-65.201,24,3.55,md,15,272,0.6915,0.27,pr,pr2022193001,2022-07-12T03:53:40.612Z,"78 km N of Culebra, Puerto Rico",earthquake,1.52,19.63,0.03,6,reviewed,pr,pr
2022-07-12T02:52:06.865Z,-6.0587,104.3751,35,4.9,mb,24,144,2.2,0.87,us,us6000i1qa,2022-07-12T03:06:24.040Z,"120 km SW of Bandar Lampung, Indonesia",earthquake,7.1,2,0.089,40,reviewed,us,us
2022-07-12T02:32:04.820Z,18.946,-65.302,40,3.49,md,15,261,0.885,0.37,pr,pr2022193000,2022-07-12T03:11:35.450Z,"71 km N of Culebra, Puerto Rico",earthquake,2.49,10.03,0.08,8,reviewed,pr,pr
2022-07-12T02:11:38.811Z,-14.0696,24.6299,10,4.6,mb,24,71,3.647,0.53,us,us6000i1q5,2022-07-12T05:33:56.957Z,"46 km SSW of Mufumbwe, Zambia",earthquake,9,1.9,0.172,10,reviewed,us,us
2022-07-12T02:04:53.068Z,-15.0492,-172.7112,10,5.7,mww,38,80,1.447,0.65,us,us6000i1q3,2022-07-12T05:39:03.312Z,"145 km SSW of Gataivai, Samoa",earthquake,8.3,1.9,0.098,10,reviewed,us,us
2022-07-12T01:47:38.060Z,34.1728333,-117.31,6.75,2.45,ml,79,25,0.03533,0.18,ci,ci40302120,2022-07-12T04:48:04.373Z,"4km ENE of Muscoy, CA",earthquake,0.17,0.46,0.176,25,automatic,ci,ci
2022-07-12T01:06:47.640Z,19.164,-155.497166666667,35.58,2.76,ml,52,110,,0.12,hv,hv73072947,2022-07-12T04:18:59.040Z,"4 km SSW of Pāhala, Hawaii",earthquake,0.45,0.55,0.200291964233152,30,reviewed,hv,hv
2022-07-12T00:37:32.564Z,31.61944677,-104.1323993,6.157275391,2.5,ml,15,60,0.09716650289,0.2,tx,tx2022nmvv,2022-07-12T02:33:14.040Z,"46 km NW of Toyah, Texas",earthquake,1.132123904,1.796727973,0.2,12,reviewed,tx,tx
2022-07-12T00:35:05.586Z,-15.2171,-172.908,10,5.8,mww,107,59,1.696,1.13,us,us6000i1pn,2022-07-12T02:53:19.436Z,"125 km NE of Hihifo, Tonga",earthquake,7.7,1.7,0.068,21,reviewed,us,us
2022-07-12T00:12:26.280Z,18.0333333333333,-66.7816666666667,12.97,2.72,md,34,65,,0.13,pr,pr71358968,2022-07-12T02:01:00.364Z,"Puerto Rico",earthquake,0.23,0.24,0.0972270536300639,20,reviewed,pr,pr
2022-07-11T23:57:36.630Z,18.9506666666667,-65.2281666666667,22.9,3.34,md,18,266,,0.25,pr,pr71358948,2022-07-12T00:25:19.670Z,"72 km N of Culebra, Puerto Rico",earthquake,1.19,20.36,0.0555199470989094,13,reviewed,pr,pr
2022-07-11T23:02:42.340Z,18.9823333333333,-155.436166666667,36.72,2.7,md,44,227,,0.12,hv,hv73072832,2022-07-12T01:57:48.640Z,"17 km ESE of Naalehu, Hawaii",earthquake,0.57,0.91,0.0886022687278605,20,reviewed,hv,hv
2022-07-11T23:02:16.061Z,38.7192,-116.0873,0,3,ml,10,69.93,0.861,0.1854,nn,nn00842648,2022-07-12T02:40:06.193Z,"88 km S of Eureka, Nevada",earthquake,,0,0.18,5,reviewed,nn,nn
2022-07-11T22:23:36.733Z,-15.1629,-173.3249,10,5.6,mww,96,56,18.786,1.02,us,us6000i1nd,2022-07-12T00:26:41.246Z,"101 km NNE of Hihifo, Tonga",earthquake,11.9,1.8,0.089,12,reviewed,us,us
2022-07-11T21:46:55.665Z,-27.4204,-175.515,10,5,mb,26,168,2.803,1.16,us,us6000i1n0,2022-07-11T22:18:25.040Z,"Kermadec Islands region",earthquake,11.7,2,0.113,25,reviewed,us,us
2022-07-11T21:12:59.933Z,62.6148,-149.7923,57.7,2.8,ml,,,,0.65,ak,ak0228tvrfpx,2022-07-12T08:03:44.326Z,"24 km NE of Chase, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-07-11T21:10:48.633Z,-18.1565,168.978,10,6,mww,110,46,3.185,0.73,us,us6000i1ms,2022-07-11T23:15:55.554Z,"84 km ESE of Port-Vila, Vanuatu",earthquake,6.4,1.7,0.06,27,reviewed,us,us
2022-07-11T21:06:04.537Z,-18.1315,169.0368,10,5.7,mww,81,46,3.195,0.68,us,us6000i1ml,2022-07-11T23:09:18.323Z,"88 km ESE of Port-Vila, Vanuatu",earthquake,7.2,1.8,0.075,17,reviewed,us,us
2022-07-11T20:37:57.667Z,-0.2373,123.0956,75.84,4.6,mb,38,58,0.862,0.97,us,us6000i1mg,2022-07-11T21:24:19.040Z,"85 km S of Gorontalo, Indonesia",earthquake,9,9.1,0.107,26,reviewed,us,us
2022-07-11T20:32:27.732Z,41.5155,-106.7355,5,2.7,ml,11,128,0.861,0.94,us,us6000i1mc,2022-07-11T21:05:08.040Z,"8 km NE of Saratoga, Wyoming",earthquake,2.9,2,0.045,66,reviewed,us,us
2022-07-11T18:24:26.558Z,42.3818,-126.7935,10,2.6,ml,8,274,2.078,0.38,us,us6000i1lh,2022-07-11T20:00:47.312Z,"192 km WSW of Port Orford, Oregon",earthquake,4.5,2,0.048,56,reviewed,us,us
2022-07-11T17:51:26.082Z,37.6933,141.2369,57.05,4.2,mb,26,131,2.679,1.07,us,us6000i1le,2022-07-11T18:18:27.040Z,"31 km NE of Namie, Japan",earthquake,8.4,10,0.14,14,reviewed,us,us
2022-07-11T17:45:56.590Z,35.602,-117.4056667,5.11,2.69,ml,33,71,0.0486,0.14,ci,ci40301944,2022-07-11T19:45:20.040Z,"18km S of Trona, CA",earthquake,0.24,0.5,0.226,25,automatic,ci,ci
2022-07-11T17:32:22.071Z,26.6152,54.2503,10,4.1,mb,32,118,2.422,0.89,us,us6000i1l7,2022-07-11T18:28:51.040Z,"23 km ENE of Kīsh, Iran",earthquake,5.9,1.9,0.117,20,reviewed,us,us
2022-07-11T17:16:50.494Z,26.6336,54.2625,10,4.5,mb,62,77,2.427,0.65,us,us6000i1l5,2022-07-11T18:04:40.040Z,"25 km ENE of Kīsh, Iran",earthquake,8.5,1.9,0.074,54,reviewed,us,us
2022-07-11T16:47:20.186Z,38.684,-116.1046,2.8,3.5,ml,12,54.47,0.853,0.1641,nn,nn00842587,2022-07-12T02:39:56.939Z,"92 km S of Eureka, Nevada",earthquake,,4.5,0.41,6,reviewed,nn,nn
2022-07-11T16:22:03.770Z,19.1748333333333,-155.484333333333,34.65,2.67,md,44,84,,0.11,hv,hv73072607,2022-07-12T02:26:21.120Z,"3 km S of Pāhala, Hawaii",earthquake,0.47,0.59,0.11948931537341,16,reviewed,hv,hv
2022-07-11T15:02:04.531Z,38.687,-116.0878,0.8,3.5,ml,16,55.82,0.866,0.1461,nn,nn00842579,2022-07-12T02:39:46.294Z,"92 km S of Eureka, Nevada",earthquake,,1.7,0.12,7,reviewed,nn,nn
2022-07-11T14:30:04.890Z,18.8728333333333,-155.217666666667,9.86,2.6,md,30,260,,0.14,hv,hv73072517,2022-07-11T21:14:15.970Z,"43 km ESE of Naalehu, Hawaii",earthquake,0.71,0.53,0.182094962640092,13,reviewed,hv,hv
